"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobAves","samplEff.1"
"84","ANH_240","Simpson diversity",13.569,19.568,4.274,13.569,27.945,3541.58823071,9466.42845967,1964.85785286,2.6900047016,2.6900047016,177.807876044,4237.58810209,2376.72453617,5091.49828537,5091.49828537,4972.40006004,7855.43161774,584.385740946,"Kale","Bosque Ripario",1
"85","ANH_241","Species richness",6,6.917,1.737,6.082,16.305,5081.33727531,9211.3408206,2560.56164357,0,0,9.85348903275,5709.59359129,3070.18471176,4835.7161053,4835.7161053,4467.05812383,6439.64339377,880.492283126,"Kale","Bosque Ripario",1
"86","ANH_241","Shannon diversity",5.499,7.341,1.597,5.499,10.472,5081.33727531,9211.3408206,2560.56164357,0,0,9.85348903275,5709.59359129,3070.18471176,4835.7161053,4835.7161053,4467.05812383,6439.64339377,880.492283126,"Kale","Bosque Ripario",1
"87","ANH_241","Simpson diversity",5.143,8.25,1.887,5.143,11.948,5081.33727531,9211.3408206,2560.56164357,0,0,9.85348903275,5709.59359129,3070.18471176,4835.7161053,4835.7161053,4467.05812383,6439.64339377,880.492283126,"Kale","Bosque Ripario",1
"88","ANH_244","Species richness",22,30.173,6.784,23.978,55.778,6473.7675637,13963.0072387,1764.52364783,0,0,662.460780049,6027.8727826,279.944177223,3119.94961547,12314.3937465,2258.20659752,6334.65480999,6375.94716756,"Caracterizacion","Bosque Ripario",1
"89","ANH_244","Shannon diversity",16.127,22.297,3.776,16.127,29.697,6473.7675637,13963.0072387,1764.52364783,0,0,662.460780049,6027.8727826,279.944177223,3119.94961547,12314.3937465,2258.20659752,6334.65480999,6375.94716756,"Caracterizacion","Bosque Ripario",1
"90","ANH_244","Simpson diversity",11.556,14.571,3.292,11.556,21.024,6473.7675637,13963.0072387,1764.52364783,0,0,662.460780049,6027.8727826,279.944177223,3119.94961547,12314.3937465,2258.20659752,6334.65480999,6375.94716756,"Caracterizacion","Bosque Ripario",1
"91","ANH_248","Species richness",19,31.216,10.451,21.858,71.207,8606.35032528,2705.14184945,5857.55587713,5.38348950946,5.38348950946,6.88112580619,3049.17764006,281.729532031,3039.06075653,3175.74730842,3308.43344443,742.663890027,3881.60691397,"Platero","Bosque Ripario",1
"92","ANH_248","Shannon diversity",13.781,20.22,4.109,13.781,28.273,8606.35032528,2705.14184945,5857.55587713,5.38348950946,5.38348950946,6.88112580619,3049.17764006,281.729532031,3039.06075653,3175.74730842,3308.43344443,742.663890027,3881.60691397,"Platero","Bosque Ripario",1
"93","ANH_248","Simpson diversity",10.189,12.959,2.758,10.189,18.364,8606.35032528,2705.14184945,5857.55587713,5.38348950946,5.38348950946,6.88112580619,3049.17764006,281.729532031,3039.06075653,3175.74730842,3308.43344443,742.663890027,3881.60691397,"Platero","Bosque Ripario",1
"94","ANH_252","Species richness",20,25.256,4.866,21.125,44.565,13898.9890501,5206.31475497,691.860908355,22.6214209864,22.6214209864,1096.10755595,3537.53082537,332.486582054,2232.84165878,7386.91016637,2740.73161361,2618.15296433,4646.78534781,"Caracterizacion","Bosque Denso",1
"95","ANH_252","Shannon diversity",11.257,13.793,2.02,11.257,17.751,13898.9890501,5206.31475497,691.860908355,22.6214209864,22.6214209864,1096.10755595,3537.53082537,332.486582054,2232.84165878,7386.91016637,2740.73161361,2618.15296433,4646.78534781,"Caracterizacion","Bosque Denso",1
